time	intensity	phase	power	power	bootstrap	bootstrap
-742.6986	0.004518117	7.279323	0.005024	0	0.0050205	0
-736.1837	0.004675284	7.224023	0.0052205	0	0.0052653	0
-729.6688	0.004857862	7.168478	0.0054328	0	0.0055307	0
-723.1539	0.005054187	7.113067	0.0056732	0	0.0057882	0
-716.639	0.005251346	7.057805	0.0059312	0	0.0060469	0
-710.1241	0.005464611	7.002646	0.0061971	0	0.0063028	0
-703.6092	0.005709624	6.947882	0.0064807	0	0.0065638	0
-697.0943	0.005972461	6.893541	0.0067919	0	0.006853	0
-690.5794	0.006238519	6.839344	0.0071225	0	0.0071793	0
-684.0645	0.006522787	6.785547	0.0074642	0	0.0075422	0
-677.5496	0.006840285	6.732662	0.007825	0	0.0079493	0
-671.0347	0.007176346	6.680416	0.0082109	0	0.0083713	0
-664.5198	0.007516671	6.62834	0.008616	0	0.0087759	0
-658.0049	0.007876396	6.576972	0.0090365	0	0.0091669	0
-651.49	0.00826981	6.527014	0.0094766	0	0.0095945	0
-644.9751	0.008682416	6.478	0.0099378	0	0.010076	0
-638.4602	0.009100681	6.429343	0.010416	0	0.010554	0
-631.9453	0.00953837	6.381726	0.01091	0	0.011034	0
-625.4304	0.01000739	6.335914	0.011419	0	0.01157	0
-618.9155	0.01049341	6.2913	0.01194	0	0.012109	0
-612.4006	0.01098372	6.24723	0.012472	0	0.012637	0
-605.8857	0.01148947	6.204478	0.013017	0	0.01319	0
-599.3708	0.01201924	6.163868	0.013566	0	0.013745	0
-592.8559	0.01255932	6.124807	0.01411	0	0.014288	0
-586.341	0.01309779	6.086724	0.014648	0	0.014796	0
-579.8261	0.0136411	6.050524	0.015178	0	0.015294	0
-573.3112	0.01419183	6.01712	0.015686	0	0.015828	0
-566.7963	0.01473453	5.986004	0.016151	0	0.016314	0
-560.2814	0.01525471	5.956699	0.016563	0	0.016681	0
-553.7665	0.01575008	5.930135	0.016919	0	0.016989	0
-547.2516	0.01621371	5.907201	0.017194	0	0.01724	0
-540.7367	0.0166252	5.887389	0.017357	0	0.017395	0
-534.2218	0.01696443	5.870196	0.0174	0	0.017407	0
-527.7069	0.01721864	5.856451	0.017312	0	0.017241	0
-521.192	0.01737183	5.846945	0.017065	0	0.016938	0
-514.6771	0.01740019	5.841135	0.016631	0	0.016473	0
-508.1622	0.01728165	5.838502	0.016016	0	0.015795	0
-501.6473	0.01700195	5.839876	0.015228	0	0.01495	0
-495.1324	0.01654978	5.84615	0.014262	0	0.013943	0
-488.6175	0.01591432	5.856973	0.013124	0	0.012753	0
-482.1026	0.01509224	5.872065	0.011848	0	0.011452	0
-475.5877	0.01409397	5.892657	0.010477	0	0.010055	0
-469.0728	0.01293956	5.920266	0.0090427	0	0.0085844	0
